Time,Text ()
2022-01-26 20:18:14,1970-01-19 23:17:17
2022-01-26 20:18:44,1970-01-19 23:17:17
2022-01-26 20:18:44,1970-01-19 23:17:17
2022-01-26 20:18:44,1970-01-19 23:17:17
2022-01-26 20:18:44,1970-01-19 23:17:17
2022-01-26 20:18:44,1970-01-19 23:17:17
2022-01-26 20:19:16,1970-01-19 23:17:17
2022-01-26 20:19:16,1970-01-19 23:17:17
2022-01-26 20:19:16,1970-01-19 23:17:17
2022-01-26 20:19:16,1970-01-19 23:17:17
2022-01-26 20:19:45,1970-01-19 23:17:17
2022-01-26 20:20:15,1970-01-19 23:17:18
2022-01-26 20:20:15,1970-01-19 23:17:18
2022-01-26 20:20:45,1970-01-19 23:17:18
2022-01-26 20:20:45,1970-01-19 23:17:18
2022-01-26 20:20:45,1970-01-19 23:17:18
2022-01-26 20:21:13,1970-01-19 23:17:18
2022-01-26 20:21:13,1970-01-19 23:17:18
2022-01-26 20:21:13,1970-01-19 23:17:18
2022-01-26 20:21:45,1970-01-19 23:17:18
2022-01-26 20:22:18,1970-01-19 23:17:18
2022-01-26 20:22:42,1970-01-19 23:17:18
2022-01-26 20:22:42,1970-01-19 23:17:18
2022-01-26 20:22:42,1970-01-19 23:17:18
2022-01-26 20:23:12,1970-01-19 23:17:18
2022-01-26 20:23:12,1970-01-19 23:17:18
2022-01-26 20:23:41,1970-01-19 23:17:18
2022-01-26 20:24:11,1970-01-19 23:17:18
2022-01-26 20:24:41,1970-01-19 23:17:18
2022-01-26 20:24:41,1970-01-19 23:17:18
2022-01-26 20:25:11,1970-01-19 23:17:18
2022-01-26 20:26:11,1970-01-19 23:17:18
2022-01-26 20:26:42,1970-01-19 23:17:18
2022-01-26 20:27:12,1970-01-19 23:17:18
2022-01-26 20:35:14,1970-01-19 23:17:18
2022-01-26 20:35:44,1970-01-19 23:17:18
2022-01-26 20:36:14,1970-01-19 23:17:18
2022-01-26 20:47:11,1970-01-19 23:17:19
2022-01-26 21:52:08,1970-01-19 23:17:23
2022-01-26 21:52:34,1970-01-19 23:17:23
2022-01-26 21:53:04,1970-01-19 23:17:23
2022-01-26 21:53:32,1970-01-19 23:17:23
2022-01-26 21:54:03,1970-01-19 23:17:23
2022-01-26 21:54:31,1970-01-19 23:17:23
2022-01-26 21:55:02,1970-01-19 23:17:23
2022-01-26 21:55:31,1970-01-19 23:17:23
2022-01-26 21:56:01,1970-01-19 23:17:23
2022-01-26 21:56:30,1970-01-19 23:17:23
2022-01-26 21:57:01,1970-01-19 23:17:23
2022-01-26 21:57:11,1970-01-19 23:17:23
2022-01-26 21:57:30,1970-01-19 23:17:23
2022-01-26 21:58:01,1970-01-19 23:17:23
2022-01-26 21:58:33,1970-01-19 23:17:23
2022-01-26 21:58:43,1970-01-19 23:17:23
2022-01-26 21:59:01,1970-01-19 23:17:23
2022-01-26 21:59:11,1970-01-19 23:17:23
2022-01-26 21:59:33,1970-01-19 23:17:23
2022-01-26 21:59:43,1970-01-19 23:17:23
2022-01-26 22:00:02,1970-01-19 23:17:24
2022-01-26 22:00:33,1970-01-19 23:17:24
2022-01-26 22:01:03,1970-01-19 23:17:24
2022-01-26 23:15:14,1970-01-19 23:17:28
2022-01-26 23:15:14,1970-01-19 23:17:28
2022-01-26 23:16:15,1970-01-19 23:17:28
2022-01-26 23:16:44,1970-01-19 23:17:28
2022-01-26 23:24:09,1970-01-19 23:17:28
2022-01-26 23:24:46,1970-01-19 23:17:28
2022-01-26 23:25:07,1970-01-19 23:17:28
2022-01-26 23:27:00,1970-01-19 23:17:28
2022-01-26 23:32:15,1970-01-19 23:17:29
2022-01-26 23:33:10,1970-01-19 23:17:29
2022-01-26 23:33:41,1970-01-19 23:17:29
2022-01-26 23:43:10,1970-01-19 23:17:30
2022-01-28 22:37:17,1970-01-19 23:17:17
2022-01-28 22:37:20,1970-01-19 23:17:18
2022-01-28 22:37:22,1970-01-19 23:17:18
2022-01-28 22:37:25,1970-01-19 23:17:18
2022-01-28 22:37:45,1970-01-19 23:17:17
2022-01-28 22:37:46,1970-01-19 23:17:17
2022-01-28 22:37:49,1970-01-19 23:17:18
2022-01-28 22:37:51,1970-01-19 23:17:18
2022-01-28 22:37:54,1970-01-19 23:17:18
